ageEstimate,companyFollowerCount,companyName,companyStaffCount,connectionsCount,followersCount,genderEstimate,hasPicture,isPremium,posTitle,avgMemberPosDuration
41.0,198859.0,Commonwealth Bank,32905.0,500.0,506.0,0.0,0,0.0,Portfolio Executive,760.5
41.0,198859.0,Commonwealth Bank,32905.0,500.0,506.0,0.0,0,0.0,Solution Delivery Executive,760.5
41.0,10047.0,CommSec,619.0,500.0,506.0,0.0,0,0.0,Project Manager,760.5
41.0,198859.0,Commonwealth Bank,32905.0,500.0,506.0,0.0,0,0.0,Project Manager,760.5
30.0,300723.0,PayPal,22522.0,500.0,951.0,1.0,1,0.0,Senior Marketing Manager,395.2857
30.0,71403.0,Optus,10913.0,500.0,951.0,1.0,1,0.0,"Digital and Social Engagement Leader, Optus Business",395.2857
30.0,4385293.0,IBM,568533.0,500.0,951.0,1.0,1,0.0,Social Brand Marketing,395.2857
30.0,4385293.0,IBM,568533.0,500.0,951.0,1.0,1,0.0,Brand Strategist,395.2857
30.0,4385293.0,IBM,568533.0,500.0,951.0,1.0,1,0.0,Brand Expression Lead,395.2857
30.0,4385293.0,IBM,568533.0,500.0,951.0,1.0,1,0.0,Brand System Graduate,395.2857
30.0,4385293.0,IBM,568533.0,500.0,951.0,1.0,1,0.0,Internal Communications and Field Enablement,395.2857
30.0,15839.0,Jigsaw Clothing,447.0,500.0,951.0,1.0,1,0.0,Marketing Intern,395.2857
33.0,251.0,Hotel Grand Chancellor Hobart,59.0,500.0,886.0,0.0,1,1.0,Assistant Banquet Manager,898.3333
33.0,47886.0,Hilton Hotels & Resorts,5214.0,500.0,886.0,0.0,1,1.0,Banquet Team Leader,898.3333
33.0,3043.0,Adelaide Convention Centre,158.0,500.0,886.0,0.0,1,1.0,F&B Attendant,898.3333
33.0,124267.0,Taj Hotels,9870.0,500.0,886.0,0.0,1,1.0,Various,898.3333
33.0,,The Star Gold Coast,,500.0,886.0,0.0,1,1.0,Events Opetations Manager ,898.3333
33.0,391.0,"Fairmont Resort & Spa Blue Mountains, MGallery by Sofitel",56.0,500.0,886.0,0.0,1,1.0,Conference and Events Manager,898.3333
33.0,,The Star Gold Coast,,500.0,886.0,0.0,1,1.0,Events Operations Manager ,898.3333
40.0,149380.0,Laing O'Rourke,7114.0,500.0,556.0,,1,0.0,General Senior Project Engineer,988.8333
40.0,117254.0,CPB Contractors,6157.0,500.0,556.0,,1,0.0,Senior Project Engineer,988.8333
40.0,117254.0,CPB Contractors,6157.0,500.0,556.0,,1,0.0,Project Engineer,988.8333
40.0,45954.0,Costain Group PLC,3528.0,500.0,556.0,,1,0.0,Section Engineer,988.8333
40.0,205942.0,Lendlease,14094.0,500.0,556.0,,1,0.0,Undergraduate,988.8333
40.0,149380.0,Laing O'Rourke,7114.0,500.0,556.0,,1,0.0,Construction Manager,988.8333
42.0,37530.0,Transport for NSW,4218.0,500.0,15286.0,0.0,1,0.0,Manager - Organisational Strategy,673.3571
42.0,23099.0,Reserve Bank of Australia,1146.0,500.0,15286.0,0.0,1,0.0,Talent Management Lead,673.3571
42.0,58372.0,Amcor,9391.0,500.0,15286.0,0.0,1,0.0,Global Talent Management Lead,673.3571
42.0,62718.0,Orica,5778.0,500.0,15286.0,0.0,1,0.0,Global Talent Management Lead,673.3571
42.0,68163.0,SAP Ariba,3367.0,500.0,15286.0,0.0,1,0.0,APAC Talent Management Lead,673.3571
